序號,統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期
84,42922631,融昌投資有限公司,臺南市北區成德里文成三路183號1樓,黃士軒,10000000,1070912
85,42922647,群創投顧有限公司,臺南市新化區護國里中正路462號,許朝翔,1000000,1070912
86,42922652,維德光電股份有限公司,臺南市安平區永華六街36號,王建智,5000000,1070912
87,42922668,永秝土木工程有限公司,臺南市六甲區六甲里建國街133號1樓,陳彥文,1000000,1070912
88,42922673,鼎佳資訊工程有限公司,臺南市新營區中山路165之1號,陳宥嘉,250000,1070912
89,42922689,淺宇科技有限公司,臺南市北區前鋒路293號8樓之1,王文良,2500000,1070912
90,42922695,長駐投資有限公司,臺南市安平區港仔里觀音街46號1樓,韓玲莉,1500000,1070913
91,42922702,達凡投資股份有限公司,臺南市中西區臨安路一段285號1樓,陳駿逸,500000,1070913
92,42922718,嘉同能源股份有限公司,臺南市北區公園里公園南路65號12樓,陳嘉浩,1000000,1070913
93,42922724,花饗食品有限公司,臺南市南區府緯街８２號二樓,尤怡涵,201000,1070913
94,42922739,尚承全球投資有限公司,臺南市南區德南街63號1樓,莊依涵,5000000,1070914
95,42922745,鳳鼎工程企業有限公司,臺南市安平區平通里健康三街592巷55號14樓之１,吳邵謙,1000000,1070917
96,42922750,仲淮國際股份有限公司,臺南市麻豆區麻口里麻豆口1之57號,李仲淮,10000000,1070917
97,42922766,姸艾國際有限公司,臺南市東區泉南里府連東路9號1樓,林明峰,1000000,1070917
98,42922771,新創環保科技股份有限公司,臺南市歸仁區許厝里中山路一段411號7樓,廖宗明,60000000,1070914
99,42922787,南驛大地股份有限公司,臺南市新市區豐華里南科二路12號2樓,黃澤熹,1000000,1070914
100,42922793,木宇國際事業有限公司,臺南市善化區小新里西拉雅大道328號,許哲穎,100000,1070917
101,42922800,橡實堤岸有限公司,臺南市南區國宅里金華路二段9巷3之3號1樓,顏琳婕,1500000,1070917
102,42922816,丞品股份有限公司,臺南市仁德區文華路三段428巷152弄2號三樓,紀麗娥,50000,1070917
103,42922822,振豪材料科技股份有限公司,臺南市北區興南里西門路4段8號1樓,吳承懋,6000000,1070917
104,42922837,巨鼎國際管理顧問有限公司,臺南市永康區中華路４２５號九樓之５,陳國振,1000000,1070918
105,42922843,佳赫機械有限公司,臺南市麻豆區埤頭里小埤頭1號之10,賴金藕,3000000,1070918
106,42922858,采耘農業有限公司,臺南市白河區詔豐里詔安厝24-200號1樓,張芯瑜,300000,1070918
107,42922864,三幸有限公司,臺南市新營區新南里隋唐街115巷9弄29號1樓,葉建宏,600000,1070917
108,42922885,金鉅科技有限公司,臺南市安平區建平里建平十五街56號2樓之1,林沛均,5000000,1070918
109,42922891,裕田建設有限公司,臺南市新營區新東里東泰路35號,莊蕙萍,1000000,1070918
110,42922908,侑成工程有限公司,臺南市西港區慶安里中州1之10號,呂心盛,3000000,1070918
111,42922914,錦源興生活有限公司,臺南市南區南都里中華南路二段331號4樓,楊子興,2000000,1070918
112,42922920,瀚爵國際有限公司,臺南市安南區幸福里府安路6段27巷58弄4號1樓,陳宗霖,1000000,1070918
113,42922935,洰賓塑膠有限公司,臺南市歸仁區六甲里六甲八街128號1樓,蘇佳霈,200000,1070918
114,42922941,萊吉貿易有限公司,臺南市安平區國平路599號14樓之3,林雍進,1000000,1070918
115,42922956,志航交通有限公司,臺南市仁德區仁中六街78號1樓,張進旺,25000000,1070918
116,42922962,龍宸有限公司,臺南市仁德區民安路一段461號1樓,童石龍,5000000,1070918
117,42922977,晨霄國際開發有限公司,臺南市永康區中華里小東路477巷12號1樓,陳易,1000000,1070918
118,42922983,九藝設計有限公司,臺南市東區東門路三段３７巷六十三弄１９號1樓,許雅竹,260000,1070918
119,42922999,高田地產開發有限公司,臺南市永康區正強里正強街332巷2號1樓,蘇榮輝,3000000,1070919
120,42923006,至銳有限公司,臺南市永康區文賢街４２２巷１８號,蕭尹涵,1000000,1070918
121,42923012,金鑫國際商貿有限公司,臺南市東區崇德路６７４號二樓,王芃茜,500000,1070918
122,42923028,品富人力資源有限公司,臺南市東區虎尾里東門路3段179巷139號1樓,林俊傑,5000000,1070918
123,42923033,霖仲金屬事業有限公司,臺南市六甲區甲東里四維街48號,林湘鋐,80000,1070919
124,42923049,融盛食品有限公司,臺南市仁德區文華路三段428巷39弄13號,陳信融,5000000,1070919
125,42923054,翰明建設有限公司,臺南市善化區小新里小新營33號1樓之2,黎偉良,15000000,1070920
126,42923060,翰昕建設有限公司,臺南市善化區小新里小新營33號1樓之1,呂晶晶,15000000,1070920
127,42923075,春瀚建設有限公司,臺南市安平區育平里平豐路262號2樓,劉彥佑,2000000,1070919
128,42923081,祥鶴室內裝修工程有限公司,臺南市中西區協進里民生路二段342之1號2樓,李國樑,100000,1070919
129,42923097,元萌科技有限公司,臺南市仁德區太子里太子路689巷23號,劉天順,100000,1070920
130,42923104,松昊有限公司,臺南市中西區府前路2段149號1樓,孫瑞蓮,10000000,1070919
131,42923110,沐萬香股份有限公司,臺南市南區再興里金華路二段152號1樓,李承育,2000000,1070919
132,42923126,輝鍠有限公司,臺南市安南區溪心里功安二街37號1樓,李銘仁,30000,1070920
133,42923131,有時空間有限公司,臺南市北區公園南路368號15樓之2,黃筱蒨,300000,1070919
134,42923147,芯妍生技有限公司,臺南市中西區永福里民生路一段96號2樓,陳儀芳,500000,1070920
135,42923152,花來了生活電子商務有限公司,臺南市中西區仙草里五妃街３２２巷１１號二樓之２,李宗穎,50000,1070920
136,42923168,菁英活動企劃整合有限公司,臺南市中西區健康路一段160巷16號1樓,李逸文,500000,1070919
137,42923173,德馨食品有限公司,臺南市中西區三合里民族路三段150號1F,孫文瑀,3000000,1070920
138,42923189,辰曄金屬有限公司,臺南市仁德區二行里中正西路211巷73號1樓,劉珮泠,2000000,1070920
139,42923195,得禾能源有限公司,臺南市仁德區太子里太子路72號,吳宥錡,1000000,1070920
140,42923202,蘿拉國際貿易有限公司,臺南市中西區西湖里和緯路五段８９巷１００號四樓,李瑜庭,1000000,1070920
141,42923218,晟陽室內裝潢工程有限公司,臺南市仁德區行大街402巷21號,江惠玲,1000000,1070920
142,42923224,宏楷木箱有限公司,臺南市安南區十二佃路17巷27號1樓,吳斐屏,500000,1070920
143,42923239,誼好家不動產股份有限公司,臺南市永康區永大路三段520號,郭佩欣,10000000,1070920
144,42923245,長風貿易企業有限公司,臺南市南區明德里水交社路80巷66號2樓,張倩蜜,5000000,1070920
145,42923250,多円投資有限公司,臺南市北區成德里育德路５２０號1樓,趙啓宏,25000000,1070920
146,42923266,聚能土地開發有限公司,臺南市東區長榮路二段32巷92號1樓,柯柏揚,100000,1070920
147,42923271,侑宸科技有限公司,臺南市安定區嘉同里六塊寮16號1樓,高盛仁,2000000,1070921
148,42923287,新創建築物公共安全檢查有限公司,臺南市安南區海佃路一段１５８巷４５號,郭瑞祥,1000000,1070921
149,42923293,亞瑟斯博股份有限公司,臺南市東區長榮路一段161號1樓,陳一銘,500000,1070921
150,42923300,赫柏時尚有限公司,臺南市南區建南里中華南路二段１５１號,林育德,2000000,1070925
151,42923316,全騁有限公司,臺南市北區小北里西門路四段２００巷２０號六樓,施宙妦,2000000,1070925
152,42923322,鋐宸材料股份有限公司,臺南市北區大道里和緯路一段66號,韓雅如,2000000,1070925
153,42923337,翰億生化科技有限公司,臺南市北區賢北里賢北街17巷12號1樓,陳蘇靖育,1000000,1070925
154,42923343,弘登科技有限公司,臺南市東區大智里崇善十五街5之6號4樓,黃朱央,500000,1070925
155,42923358,肉多多東寧有限公司,臺南市東區裕農里東寧路508號1、2樓,趙懿婷,200000,1070925
156,42923364,勝多立科技有限公司,臺南市安定區港尾里港子尾39號,王柔予,10000000,1070926
157,42923379,漢旌有限公司,臺南市新營區康樂街16之2號2樓,林承漢,600000,1070925
158,42923385,宇叡股份有限公司,臺南市東區泉南里長榮路一段161號2樓,陳軒宇,500000,1070926
159,42923391,嘉尚美日用百貨有限公司,臺南市永康區大灣路505號,柯盛享,15000000,1070925
160,42923408,翰明建設有限公司,臺南市善化區小新里小新營33號1樓之2,黎偉良,15000000,1070920
161,42923414,紘睿投資有限公司,臺南市北區文元里文成路615號1樓,黃俊宏,1000000,1070926
162,42923420,廣晟廣告有限公司,臺南市佳里區六安里佳東路539巷3號1樓,黃俊翔,500000,1070928
163,42923435,恰口貿易企業有限公司,臺南市六甲區工研路8號,柯志諭,500000,1070928
164,42923456,皇帝工程有限公司,臺南市安定區安定里安定52之17號1樓,黃偉倫,1000000,1070926
165,42923462,福億投資有限公司,臺南市安南區智安二街61號3樓,施任青,4000000,1070926
166,42923477,杰宇有限公司,臺南市南區竹溪里健康路一段１１３巷５５弄１８號１樓,田雨,600000,1070927
167,42923483,申鼎工程有限公司,臺南市安定區蘇林里蘇厝64之2號1樓,陳碩諺,100000,1070926
168,42923499,權健生物科技有限公司,臺南市新市區新和里中正路29號,李圓城,3000000,1070927
169,42923505,知音企業有限公司,臺南市永康區永正路53號1樓,張邵芪,500000,1070927
170,42923511,動動好文創股份有限公司,臺南市安平區國平里文平路1號1樓,李少琦,7000000,1070926
171,42923527,瓜點子國際事業有限公司,臺南市南區中華南路二段400巷1弄4號3樓,葉翠馨,50000,1070927
172,42923532,巨森家居企業有限公司,臺南市安南區本原街2段132巷60弄10號,黃麗敏,2000000,1070927
173,42923548,巴羅艾托智慧科技有限公司,臺南市北區公園路739號1樓,蔡宗益,1000000,1070928
174,42923553,金盛創有限公司,臺南市東區勝利路113號,伍育群(NG YUK KWAN PATRICK),400000,1070928
175,42923569,任我行策略廣告有限公司,臺南市東區莊敬里莊敬路219巷11-1號1樓,任致文,1000000,1070928
176,42983453,黛特顧問有限公司,新竹市東區仙水里14鄰光復路一段367巷21號5樓,董方瑀,500000,1070829
177,42983480,英商埃科品牌服務有限公司,臺北市松山區八德路3段230號11樓之2,,0,1070829
178,42984002,開曼群島商開曼嘉盛控股股份有限公司,高雄市苓雅區新光路38號十二樓之1,林昀冀,0,1070831
179,42984185,名皇汽車有限公司,雲林縣斗六市三平里明德北路三段61號,謝孟珂,1000000,1070831
180,42984208,新加坡商米歐科技股份有限公司,臺北市信義區松高路9號25樓,蔡耀賢,600000,1070831
181,42984214,英屬維京群島商金波信息技術諮詢有限公司,臺北市大安區敦化南路二段39號十一樓,鄭鍾弼,5000000,1070903
182,42984220,塞席爾商鉅豐企業有限公司,嘉義市東區仁義里新生路667號之2  四樓,盧瑋琦,0,1070903
183,42984235,日商新日本鋼鐵工業股份有限公司,臺中市烏日區健行北路112號,劉宣彣,1500000,1070903
184,42984241,禾昌開發建設有限公司,彰化縣彰化市崙平里中央路184號8樓之10,古家羽,160000,1070903
185,42984256,大莊國際有限公司,苗栗縣苑裡鎮舊社2之2號1樓,莊國楨,500000,1070903
186,42984262,丹麥商潘多拉珠寶有限公司,臺北市松山區敦化北路168號15樓,,250000,1070903
187,42984277,大旺旺洋酒有限公司,彰化縣彰化市五權里自強南路28號,陳冠傑,500000,1070903
188,42984283,鋐融環保有限公司,彰化縣伸港鄉溪底村興工路臨1之52號,黃暄惇,200000,1070903
189,42984299,捷報建設有限公司,彰化縣彰化市阿夷里福成街84號1樓,尤國民,5000000,1070903
190,42984306,水印堂國際有限公司,苗栗縣三義鄉勝興村33鄰歐香新城16-1號1樓,李保中,1000000,1070903
191,42984312,善宏服務有限公司,彰化縣彰化市國聖里國聖路192號1樓,李官儫,2000000,1070903
192,42984328,億唯能源有限公司,雲林縣臺西鄉五榔村五榔27-2號,吳宗祐,5000000,1070903
193,42984333,宗昇工程有限公司,雲林縣斗南鎮大同里和平街123號1樓,沈俊宗,6000000,1070903
194,42984349,富山牙科器材有限公司,嘉義縣太保市新埤里新埤264之11號1樓,葉倧延,300000,1070903
195,42984354,興全台實業有限公司,雲林縣虎尾鎮東屯里大屯1-6號1樓,陳建新,500000,1070903
196,42984360,速智精密有限公司,雲林縣斗六市榴南里斗工二路72號,廖智全,10000000,1070903
197,42984375,田中央有限公司,屏東縣屏東市大連里瑞光路二段246號1樓,陳健福,1000000,1070903
198,42984381,伊棧休閒開發股份有限公司,花蓮縣吉安鄉仁里村吉豐路一段16巷11號1樓,劉竑谷,18000000,1070903
199,42984397,奕捷建設有限公司,花蓮縣吉安鄉仁和村海岸路284號1樓,白憲宗,200000,1070903
200,42984501,大成可道顧問有限公司,臺東縣關山鎮中山路102號,張顥騰,100000,1070903
201,42984517,路絲時尚國際有限公司,花蓮縣花蓮市東興二街29巷1號,陳緗語,500000,1070903
202,42984523,奇磐興業有限公司,彰化縣員林市中正路93號3樓,張仕毅,5000000,1070903
203,42984538,金煌工程有限公司,金門縣金沙鎮浦山里呂厝5之1號,林柏榮,1000000,1070903
204,42984559,茶水間有限公司,嘉義縣朴子市平和里1鄰市東路1之29號七樓3,吳霽儒,300000,1070903
205,42984565,嘉鑫精密模具有限公司,彰化縣秀水鄉安溪村安平一街臨46-1號,吳俊翰,3000000,1070903
206,42984570,彰化農器科技有限公司,彰化縣彰化市牛埔里彰南路3段450巷68號,吳鴻明,100000,1070903
207,42984586,義大利商歌詩達郵輪有限公司,臺北市中山區南京東路2段137號13樓,,0,1070903
208,42984592,吉作室內裝潢有限公司,基隆市暖暖區碇祥里碇內街103巷1號,歐家吉,1000000,1070903
209,42984609,義墨企業有限公司,新竹縣竹北市北興里勝利十一路65號一樓,林政隆,10000000,1070903
210,42984615,英屬維京群島商金佳達全球有限公司,臺北市中山區中山北路一段83巷32號,陳俐君,8000000,1070904
211,42984621,英屬開曼群島商永瀛控股股份有限公司,臺中市南屯區東興路二段186號8樓之5,蔡昌育,1500000,1070904
212,42984636,精緯企業有限公司,彰化縣和美鎮和東里仁美路196號2樓,簡佳慧,500000,1070904
213,42984642,神算雲科技有限公司,宜蘭縣員山鄉中華村再連路21號,陳明鴻,30000,1070904
214,42984657,優梗娛樂有限公司,花蓮縣花蓮市民孝里東興二街18巷1號1樓,張瑋,300000,1070904
215,42984663,詠力國際企業有限公司,彰化縣秀水鄉福安村福大巷53弄17號,林家鴻,2000000,1070904
216,42984678,日商新化美股份有限公司,臺北市大同區南京西路323之1號4樓,正山堯,500000,1070904
217,42984684,祥景科技有限公司,彰化縣彰化市台鳳里一德南路227號,吳俊德,1500000,1070904
218,42984690,德商及邁及貿易有限公司,臺北市松山區敦化北路214號7樓,付巴特,0,1070904
219,42984707,宗瑋工程有限公司,嘉義縣民雄鄉金興村集福街26巷32號一樓,鄭淑如,200000,1070904
220,42984713,承坤科技有限公司,彰化縣花壇鄉文德村宏宅街188巷6弄7號1樓,蕭嘉鴻,200000,1070904
221,42984729,東璟建設開發有限公司,嘉義市東區興安里7鄰興美六路236號,翁國忠,20000000,1070904
222,42984734,舒眠漢方生技有限公司,彰化縣田尾鄉新興村新興路50巷11號,蕭泰華,200000,1070904
223,42984740,優面塗裝股份有限公司,屏東縣新園鄉新園村媽祖路420號,周國榮,15000000,1070904
224,42984755,佰鋐有限公司,彰化縣鹿港鎮東石里鹿工南五路13號,陳正龍,500000,1070906
225,42984761,長旭雄開肉品有限公司,雲林縣林內鄉烏塗村和興20-8號1樓,余炳桂,3000000,1070904
226,42984776,玉貞有限公司,屏東縣萬巒鄉萬巒村7鄰民和路44號,黃玉貞,1000000,1070904
227,42984782,美莉屋管理顧問有限公司,宜蘭縣五結鄉上四村中正路二段89號一樓,吳美莉,1000000,1070904
228,42984798,聯航海空貿易有限公司,彰化縣和美鎮柑井里彰美路四段102巷30弄7號,張珊艇,2000000,1070904
229,42984805,秝瑋桓光能有限公司,屏東縣屏東市大湖里大春路177巷300弄81號,劉祥志,1000000,1070904
230,42984811,大勤清潔有限公司,宜蘭縣宜蘭市中興里中興路291巷29號1樓,吳政達,300000,1070904
231,42984827,比利時商領飛有限公司,臺北市中山區復興北路48號10樓,,0,1070904
232,42984832,相乘創研室內裝修設計有限公司,宜蘭縣冬山鄉廣興村水源路37巷4弄52號一樓,陳佳人,2000000,1070904
233,42984848,品台餐飲股份有限公司,金門縣金寧鄉盤山村伯玉路二段223-2號,陳正杰,3000000,1070904
234,42984853,資妍堂有限公司,新竹市東區關新里關新路29號12樓之27,楊茜涵,1000000,1070904
235,42984869,永宸企管顧問有限公司,金門縣金湖鎮山外里山外117號1樓,林宛嬋,500000,1070904
236,42984874,衫查有限公司,新竹縣湖口鄉明德街229巷21弄7號2樓,曾琬婷,200000,1070904
237,42984880,綠邦環保有限公司,花蓮縣吉安鄉仁安村南海十街143巷2弄17號1樓,蘇學育,1000000,1070904
238,42984896,國際文教有限公司,宜蘭縣羅東鎮純精路二段99號1樓,林孟瑜,600000,1070904
239,42984903,上緯科技有限公司,花蓮縣花蓮市主權里18鄰德安四街29巷1弄3號1樓,黃子軒,1000000,1070904
240,42984919,香港商美誼達財務有限公司,臺北市士林區至善路二段190號2樓,李偉明,0,1070904
241,42984925,美商美特利思有限公司,臺北市中山區吉林路393巷23號3樓,郝冠名,0,1070904
242,42984930,大陸商深圳市路迪斯達供應鏈管理有限公司,臺北市內湖區內湖路1段392號9樓之1,黃文正,0,1070905
243,42984946,安平建設開發有限公司,新竹縣芎林鄉新鳳村倒別牛7-1號,劉田泉,5000000,1070905
244,42984951,九食五省創意國股份有限公司,雲林縣莿桐鄉埔子村榮村路45號,葛筱萍,250000,1070905
245,42984967,守護寶股份有限公司,嘉義縣水上鄉粗溪村粗溪117-2號1樓,黃政勇,60000000,1070905
246,42984972,德泰室內裝修設計工程有限公司,彰化縣和美鎮中圍里東興路58巷19號1樓,林慶宗,1000000,1070905
247,42984988,典長藝術有限公司,苗栗縣三義鄉廣盛村廣聲新城4巷1號,康鈺滋,200000,1070905
248,42984994,薩摩亞商波音特國際有限公司,臺南市中西區和緯路五段161巷8弄8號1樓,呂茂彰,500000,1070905
249,42985001,華積科技有限公司,新竹市北區水田里北大路158號4樓,朱慎亞,500000,1070905
250,42985017,金永有限公司,嘉義市光路里新民路416巷7弄2號1樓,李俞蓉,1000000,1070905
251,42985023,創兆室內裝修工程有限公司,新竹市綠水里光復路二段295號20樓之5,許瑛玲,500000,1070905
252,42985038,台蛋生技有限公司,彰化縣芳苑鄉三合村斗苑路三合段553號,吳介元,100000,1070905
253,42985059,慧航休閒開發有限公司,臺東縣臺東市杭州街138巷22號,林濟堂,300000,1070905
254,42985065,美商歐姆雷特股份有限公司,臺北市中正區北平東路30號12樓之1,游敦皓,5000000,1070905
255,42985070,展得股份有限公司,嘉義縣民雄鄉東榮村建國路一段301號1樓,洪瑞庭,30000000,1070905
256,42985086,遠東海洋顧問有限公司,基隆市中正區中砂里中正路364號一樓,沈業荃,5000000,1070905
257,42985092,香港商奧通有限公司,臺北市中山區復興北路2號4樓之6,陳挺軒,500000,1070905
258,42985109,旺蓉國際有限公司,苗栗縣頭份市永安街216之2號,張火旺,200000,1070905
259,42985115,冠辰五金有限公司,彰化縣和美鎮中圍里彰新路三段636巷150弄13號1樓,呂政育,600000,1070905
260,42985121,美商格拉思緹有限公司,臺北市大安區復興南路一段206號11樓,Marcus Schiesser,5000000,1070905
