序號,縣市,鄉鎮市區,測站名稱,測站地址,空品區,經度,緯度,影像連結
51,桃園市,平鎮區,平鎮,桃園市平鎮區復興街５５號,北部空品區,121.204981,24.954208,
52,新竹縣,竹東鎮,竹東,新竹縣竹東鎮榮樂里三民街７０號,竹苗空品區,121.088903,24.740644,
53,新竹縣,湖口鄉,湖口,新竹縣湖口鄉成功路３６０號,竹苗空品區,121.038653,24.900142,
54,苗栗縣,三義鄉,三義,苗栗縣三義鄉西湖村上湖６１-１號,竹苗空品區,120.758833,24.382942,[URL]/ATM/AQX_P_01/027-201811121330.jpg
55,苗栗縣,苗栗市,苗栗,苗栗縣苗栗市縣府路１００號,竹苗空品區,120.8202,24.565269,
56,苗栗縣,頭份市,頭份,苗栗縣頭份市文化街２０號,竹苗空品區,120.898572,24.696969,
57,彰化縣,線西鄉,線西,彰化縣線西鄉中央路二段１４５號,中部空品區,120.469061,24.131672,[URL]/ATM/AQX_P_01/034-201811121340.jpg
58,彰化縣,彰化市,彰化,彰化縣彰化市文心街５５號,中部空品區,120.541519,24.066,
59,彰化縣,二林鎮,二林,彰化縣二林鎮江山巷１號,中部空品區,120.409653,23.925175,[URL]/ATM/AQX_P_01/035-201811121340.jpg
60,南投縣,埔里鎮,埔里,南投縣埔里鎮西安路一段１９３號,中部空品區,120.967903,23.968842,[URL]/ATM/AQX_P_01/072-201811121340.jpg
61,南投縣,南投市,南投,南投縣南投市南陽路２６９號,中部空品區,120.685306,23.913,[URL]/ATM/AQX_P_01/036-201811121330.jpg
62,南投縣,竹山鎮,竹山,南投縣竹山鎮大明路６６６號,中部空品區,120.677306,23.756389,[URL]/ATM/AQX_P_01/069-201811121330.jpg
63,雲林縣,麥寮鄉,麥寮,雲林縣麥寮鄉中興路１１５號,雲嘉南空品區,120.251825,23.753506,[URL]/ATM/AQX_P_01/083-201811121330.jpg
64,雲林縣,臺西鄉,臺西,雲林縣臺西鄉五港路５０５號,雲嘉南空品區,120.202842,23.717533,[URL]/ATM/AQX_P_01/041-201811121330.jpg
65,雲林縣,崙背鄉,崙背,雲林縣崙背鄉大成路９１號,雲嘉南空品區,120.348742,23.757547,[URL]/ATM/AQX_P_01/203-201811121410.jpg
66,雲林縣,斗六市,斗六,雲林縣斗六市民生路２２４號,雲嘉南空品區,120.544994,23.711853,[URL]/ATM/AQX_P_01/037-201811121340.jpg
67,嘉義縣,新港鄉,新港,嘉義縣新港鄉登雲路１０５號,雲嘉南空品區,120.345531,23.554839,[URL]/ATM/AQX_P_01/039-201811121340.jpg
68,嘉義縣,朴子市,朴子,嘉義縣朴子市光復路３４號,雲嘉南空品區,120.24735,23.465308,[URL]/ATM/AQX_P_01/040-201811121330.jpg
69,屏東縣,恆春鎮,恆春,屏東縣恆春鎮公園路４４號,高屏空品區,120.788928,21.958069,[URL]/ATM/AQX_P_01/061-201811121340.jpg
70,屏東縣,屏東市,屏東,屏東縣屏東市蘇州街７５號,高屏空品區,120.488033,22.673081,
71,屏東縣,潮州鎮,潮州,屏東縣潮州鎮復興路６６號,高屏空品區,120.561175,22.523108,[URL]/ATM/AQX_P_01/060-201811121330.jpg
72,臺東縣,臺東市,臺東,臺東縣臺東市中山路２７６號,花東空品區,121.15045,22.755358,[URL]/ATM/AQX_P_01/062-201811121340.jpg
73,臺東縣,關山鎮,關山,臺東縣關山鎮自強路６６號,花東空品區,121.161933,23.045083,[URL]/ATM/AQX_P_01/080-201811121330.jpg
74,花蓮縣,花蓮市,花蓮,花蓮縣花蓮市中正路２１０號,花東空品區,121.599769,23.971306,[URL]/ATM/AQX_P_01/063-201811121330.jpg
75,澎湖縣,馬公市,馬公,澎湖縣馬公市中正路１１５號,其他,119.566158,23.569031,[URL]/ATM/AQX_P_01/078-201811121330.jpg
76,金門縣,金城鎮,金門,金門縣金城鎮民權路３２號,其他,118.312256,24.432133,[URL]/ATM/AQX_P_01/077-201811121330.jpg
77,連江縣,南竿鄉,馬祖,連江縣南竿鄉介壽村１５６-１０號,其他,119.9525,26.153611,[URL]/ATM/AQX_P_01/075-201811121330.jpg
,,,,,,,,
,,,,,,,,
